,base,snap,calc,ex_en,osc
203,/home/share/wesolowski/NR_CGE_HUJI,453,5_Angstroms/emb1,3.412937,2.673935
204,/home/share/wesolowski/NR_CGE_HUJI,454,5_Angstroms/emb1,3.511919,2.54026
205,/home/share/wesolowski/NR_CGE_HUJI,455,5_Angstroms/emb1,3.459855,2.574475
206,/home/share/wesolowski/NR_CGE_HUJI,456,5_Angstroms/emb1,3.646132,2.561616
207,/home/share/wesolowski/NR_CGE_HUJI,457,5_Angstroms/emb1,3.519479,2.554488
208,/home/share/wesolowski/NR_CGE_HUJI,458,5_Angstroms/emb1,3.214473,2.590568
209,/home/share/wesolowski/NR_CGE_HUJI,459,5_Angstroms/emb1,3.518986,2.538022
210,/home/share/wesolowski/NR_CGE_HUJI,460,5_Angstroms/emb1,3.645154,2.540481
211,/home/share/wesolowski/NR_CGE_HUJI,461,5_Angstroms/emb1,3.400857,2.492371
212,/home/share/wesolowski/NR_CGE_HUJI,462,5_Angstroms/emb1,3.277651,2.522745
213,/home/share/wesolowski/NR_CGE_HUJI,463,5_Angstroms/emb1,3.580859,2.549526
214,/home/share/wesolowski/NR_CGE_HUJI,464,5_Angstroms/emb1,3.443009,2.61614
215,/home/share/wesolowski/NR_CGE_HUJI,465,5_Angstroms/emb1,3.484987,2.521068
216,/home/share/wesolowski/NR_CGE_HUJI,466,5_Angstroms/emb1,3.253801,2.597249
217,/home/share/wesolowski/NR_CGE_HUJI,467,5_Angstroms/emb1,3.25059,2.564941
218,/home/share/wesolowski/NR_CGE_HUJI,468,5_Angstroms/emb1,3.320998,2.60021
219,/home/share/wesolowski/NR_CGE_HUJI,469,5_Angstroms/emb1,3.460652,2.547116
220,/home/share/wesolowski/NR_CGE_HUJI,470,5_Angstroms/emb1,3.317863,2.580216
221,/home/share/wesolowski/NR_CGE_HUJI,471,5_Angstroms/emb1,3.220272,2.642472
222,/home/share/wesolowski/NR_CGE_HUJI,472,5_Angstroms/emb1,3.282324,2.577292
223,/home/share/wesolowski/NR_CGE_HUJI,473,5_Angstroms/emb1,3.243859,2.653865
224,/home/share/wesolowski/NR_CGE_HUJI,474,5_Angstroms/emb1,3.287592,2.534345
225,/home/share/wesolowski/NR_CGE_HUJI,475,5_Angstroms/emb1,3.47654,2.477668
226,/home/share/wesolowski/NR_CGE_HUJI,476,5_Angstroms/emb1,3.470951,2.578544
227,/home/share/wesolowski/NR_CGE_HUJI,477,5_Angstroms/emb1,3.301997,2.527452
228,/home/share/wesolowski/NR_CGE_HUJI,478,5_Angstroms/emb1,3.620779,2.547032
229,/home/share/wesolowski/NR_CGE_HUJI,479,5_Angstroms/emb1,3.555512,2.613345
230,/home/share/wesolowski/NR_CGE_HUJI,480,5_Angstroms/emb1,3.45156,2.482883
231,/home/share/wesolowski/NR_CGE_HUJI,481,5_Angstroms/emb1,3.306428,2.552691
232,/home/share/wesolowski/NR_CGE_HUJI,482,5_Angstroms/emb1,3.294321,2.558236
233,/home/share/wesolowski/NR_CGE_HUJI,483,5_Angstroms/emb1,3.438633,2.478052
234,/home/share/wesolowski/NR_CGE_HUJI,484,5_Angstroms/emb1,3.136842,2.533069
235,/home/share/wesolowski/NR_CGE_HUJI,485,5_Angstroms/emb1,3.768318,2.575264
236,/home/share/wesolowski/NR_CGE_HUJI,486,5_Angstroms/emb1,3.385647,2.554964
237,/home/share/wesolowski/NR_CGE_HUJI,487,5_Angstroms/emb1,3.547174,2.379731
238,/home/share/wesolowski/NR_CGE_HUJI,488,5_Angstroms/emb1,3.694229,2.478573
239,/home/share/wesolowski/NR_CGE_HUJI,489,5_Angstroms/emb1,3.297918,2.590138
240,/home/share/wesolowski/NR_CGE_HUJI,490,5_Angstroms/emb1,3.652524,2.619576
241,/home/share/wesolowski/NR_CGE_HUJI,491,5_Angstroms/emb1,3.275421,2.473961
242,/home/share/wesolowski/NR_CGE_HUJI,492,5_Angstroms/emb1,3.77315,2.630079
243,/home/share/wesolowski/NR_CGE_HUJI,493,5_Angstroms/emb1,3.670612,2.6108
244,/home/share/wesolowski/NR_CGE_HUJI,494,5_Angstroms/emb1,3.549109,2.548242
245,/home/share/wesolowski/NR_CGE_HUJI,495,5_Angstroms/emb1,3.447429,2.512372
246,/home/share/wesolowski/NR_CGE_HUJI,496,5_Angstroms/emb1,3.53447,2.578262
247,/home/share/wesolowski/NR_CGE_HUJI,497,5_Angstroms/emb1,3.352396,2.588223
248,/home/share/wesolowski/NR_CGE_HUJI,498,5_Angstroms/emb1,3.319823,2.519454
249,/home/share/wesolowski/NR_CGE_HUJI,499,5_Angstroms/emb1,3.442928,2.466513
250,/home/share/wesolowski/NR_CGE_HUJI,500,5_Angstroms/emb1,3.329298,2.559355
251,/home/share/wesolowski/NR_CGE_HUJI,501,5_Angstroms/emb1,3.204402,2.557144
252,/home/share/wesolowski/NR_CGE_HUJI,502,5_Angstroms/emb1,3.20746,2.576851
253,/home/share/wesolowski/NR_CGE_HUJI,503,5_Angstroms/emb1,3.427893,2.62804
254,/home/share/wesolowski/NR_CGE_HUJI,504,5_Angstroms/emb1,3.293493,2.603345
255,/home/share/wesolowski/NR_CGE_HUJI,505,5_Angstroms/emb1,3.531043,2.34446
256,/home/share/wesolowski/NR_CGE_HUJI,506,5_Angstroms/emb1,3.161012,2.617802
257,/home/share/wesolowski/NR_CGE_HUJI,507,5_Angstroms/emb1,3.733956,2.523566
258,/home/share/wesolowski/NR_CGE_HUJI,508,5_Angstroms/emb1,3.35131,2.559741
259,/home/share/wesolowski/NR_CGE_HUJI,509,5_Angstroms/emb1,3.343096,2.54543
260,/home/share/wesolowski/NR_CGE_HUJI,510,5_Angstroms/emb1,3.269109,2.449648
