,base,snap,calc,SCF,ex_en,osc
185,/home/share/wesolowski/NR_CGE_HUJI,435,iso1,-985.11450236,3.040287,2.424051
186,/home/share/wesolowski/NR_CGE_HUJI,436,iso1,-985.12921774,2.910772,2.359059
187,/home/share/wesolowski/NR_CGE_HUJI,437,iso1,-985.14751228,3.288232,2.362988
188,/home/share/wesolowski/NR_CGE_HUJI,438,iso1,-985.12960761,3.132839,2.351475
189,/home/share/wesolowski/NR_CGE_HUJI,439,iso1,-985.14059331,2.881369,2.367645
190,/home/share/wesolowski/NR_CGE_HUJI,440,iso1,-985.12842148,3.027343,2.465118
191,/home/share/wesolowski/NR_CGE_HUJI,441,iso1,-985.14620436,3.14662,2.51261
192,/home/share/wesolowski/NR_CGE_HUJI,442,iso1,-985.14172588,3.062608,2.435805
193,/home/share/wesolowski/NR_CGE_HUJI,443,iso1,-985.15151379,3.087442,2.361623
194,/home/share/wesolowski/NR_CGE_HUJI,444,iso1,-985.14820035,2.932712,2.528747
195,/home/share/wesolowski/NR_CGE_HUJI,445,iso1,-985.13733588,3.294645,2.278465
196,/home/share/wesolowski/NR_CGE_HUJI,446,iso1,-985.12913907,3.2573,2.206751
197,/home/share/wesolowski/NR_CGE_HUJI,447,iso1,-985.13319525,2.916198,2.352468
198,/home/share/wesolowski/NR_CGE_HUJI,448,iso1,-985.12231741,2.995674,2.257747
199,/home/share/wesolowski/NR_CGE_HUJI,449,iso1,-985.1326635,2.965263,2.548324
200,/home/share/wesolowski/NR_CGE_HUJI,450,iso1,-985.12907421,3.043003,2.399989
201,/home/share/wesolowski/NR_CGE_HUJI,451,iso1,-985.13398937,3.171977,2.256828
202,/home/share/wesolowski/NR_CGE_HUJI,452,iso1,-985.11287066,3.084971,2.464113
203,/home/share/wesolowski/NR_CGE_HUJI,453,iso1,-985.14084993,3.045834,2.552316
204,/home/share/wesolowski/NR_CGE_HUJI,454,iso1,-985.1385458,3.103094,2.353346
205,/home/share/wesolowski/NR_CGE_HUJI,455,iso1,-985.1402407,3.018644,2.405403
206,/home/share/wesolowski/NR_CGE_HUJI,456,iso1,-985.14305311,3.172813,2.383574
207,/home/share/wesolowski/NR_CGE_HUJI,457,iso1,-985.14917125,3.170558,2.455449
208,/home/share/wesolowski/NR_CGE_HUJI,458,iso1,-985.13806755,2.906307,2.499146
209,/home/share/wesolowski/NR_CGE_HUJI,459,iso1,-985.14522197,3.14954,2.417935
